Model,TBS2104;
Firmware Version,v1,26,0;
;
Point Format,Y;
Horizontal Units,S;
Horizontal Scale,0,0002;
Sample Interval,1,6e-06;
Filter Frequency,1e+08;
Record Length,2000;
Gating,0,0% to 100,0%;
Probe Attenuation,1;
Vertical Units,V;
Vertical Offset,0;
Vertical Scale,1;
Label,;
TIME,CH1;
-1,42;4,90
-1,41;4,95
-1,41;4,95
-1,41;4,90
-1,41;4,90
-1,41;4,95
-1,41;4,95
-1,41;4,95
-1,40;4,95
-1,40;4,95
-1,40;4,95
-1,40;4,90
-1,40;4,90
-1,40;4,95
-1,39;4,95
-1,39;4,95
-1,39;4,90
-1,39;4,95
-1,39;4,90
-1,39;4,95
-1,38;4,90
-1,38;4,90
-1,38;4,95
-1,38;4,95
-1,38;4,95
-1,38;4,90
-1,37;4,95
-1,37;4,90
-1,37;4,95
-1,37;4,90
-1,37;4,95
-1,37;4,95
-1,37;4,90
-1,36;4,95
-1,36;4,95
-1,36;4,95
-1,36;4,90
-1,36;4,95
-1,36;4,90
-1,35;4,95
-1,35;4,95
-1,35;4,90
-1,35;4,95
-1,35;4,95
-1,35;4,90
-1,34;4,95
-1,34;4,95
-1,34;4,95
-1,34;4,90
-1,34;4,95
-1,34;4,90
-1,33;4,95
-1,33;4,90
-1,33;4,95
-1,33;4,90
-1,33;4,95
-1,33;4,95
-1,33;4,95
-1,32;4,90
-1,32;4,95
-1,32;4,90
-1,32;4,95
-1,32;4,95
-1,32;4,90
-1,31;4,95
-1,31;4,95
-1,31;4,95
-1,31;4,90
-1,31;4,95
-1,31;4,95
-1,30;4,95
-1,30;4,95
-1,30;4,95
-1,30;4,95
-1,30;4,95
-1,30;4,95
-1,29;4,95
-1,29;4,95
-1,29;4,90
-1,29;4,95
-1,29;4,90
-1,29;4,95
-1,29;4,90
-1,28;4,95
-1,28;4,95
-1,28;4,90
-1,28;4,90
-1,28;4,90
-1,28;4,95
-1,27;4,95
-1,27;4,90
-1,27;4,95
-1,27;4,95
-1,27;4,95
-1,27;4,95
-1,26;4,95
-1,26;4,95
-1,26;4,90
-1,26;4,95
-1,26;4,95
-1,26;4,90
-1,25;4,95
-1,25;4,95
-1,25;4,90
-1,25;4,90
-1,25;4,95
-1,25;4,95
-1,25;4,95
-1,24;4,95
-1,24;4,95
-1,24;4,95
-1,24;4,90
-1,24;4,95
-1,24;4,95
-1,23;4,95
-1,23;4,90
-1,23;4,95
-1,23;4,95
-1,23;4,95
-1,23;4,95
-1,22;4,95
-1,22;4,90
-1,22;4,90
-1,22;4,95
-1,22;4,95
-1,22;4,95
-1,21;4,95
-1,21;4,95
-1,21;4,95
-1,21;4,95
-1,21;4,95
-1,21;4,95
-1,21;4,95
-1,20;4,95
-1,20;4,95
-1,20;4,95
-1,20;4,90
-1,20;4,90
-1,20;4,95
-1,19;4,90
-1,19;4,95
-1,19;4,95
-1,19;4,95
-1,19;4,90
-1,19;4,95
-1,18;4,95
-1,18;4,95
-1,18;4,95
-1,18;4,90
-1,18;4,95
-1,18;4,90
-1,17;4,95
-1,17;4,95
-1,17;4,90
-1,17;4,95
-1,17;4,95
-1,17;4,90
-1,17;4,90
-1,16;4,95
-1,16;4,90
-1,16;4,95
-1,16;4,95
-1,16;4,95
-1,16;4,95
-1,15;4,95
-1,15;4,95
-1,15;4,90
-1,15;4,95
-1,15;4,95
-1,15;4,95
-1,14;4,95
-1,14;4,95
-1,14;4,90
-1,14;4,90
-1,14;4,90
-1,14;4,95
-1,13;4,90
-1,13;4,90
-1,13;4,90
-1,13;4,90
-1,13;4,95
-1,13;4,95
-1,13;4,95
-1,12;4,95
-1,12;4,95
-1,12;4,95
-1,12;4,90
-1,12;4,95
-1,12;4,95
-1,11;4,95
-1,11;4,90
-1,11;4,95
-1,11;4,95
-1,11;4,95
-1,11;4,95
-1,10;4,95
-1,10;4,95
-1,10;4,90
-1,10;4,90
-1,10;4,95
-1,10;4,95
-1,09;4,90
-1,09;4,95
-1,09;4,95
-1,09;4,95
-1,09;4,95
-1,09;4,95
-1,09;4,90
-1,08;4,90
-1,08;4,95
-1,08;4,95
-1,08;4,95
-1,08;4,95
-1,08;4,95
-1,07;4,95
-1,07;4,95
-1,07;4,95
-1,07;4,95
-1,07;4,95
-1,07;4,95
-1,06;4,90
-1,06;4,95
-1,06;4,90
-1,06;4,95
-1,06;4,90
-1,06;4,95
-1,05;4,95
-1,05;4,95
-1,05;4,95
-1,05;4,95
-1,05;4,95
-1,05;4,90
-1,05;4,90
-1,04;4,95
-1,04;4,90
-1,04;4,95
-1,04;4,95
-1,04;4,90
-1,04;4,90
-1,03;4,95
-1,03;4,95
-1,03;4,90
-1,03;4,95
-1,03;4,95
-1,03;4,90
-1,02;4,95
-1,02;4,95
-1,02;4,90
-1,02;4,90
-1,02;4,95
-1,02;4,90
-1,01;4,95
-1,01;4,95
-1,01;4,95
-1,01;4,95
-1,01;4,95
-1,01;4,95
-1,01;4,95
-1,00;4,95
-1,00;4,95
-1,00;4,95
-1,00;4,95
