Model,TBS2104;
Firmware Version,v1.26.0;
;
Point Format,Y;
Horizontal Units,S;
Horizontal Scale,0.0004;
Sample Interval,3.2e-06;
Filter Frequency,1e+08;
Record Length,2000;
Gating,0.0% to 100.0%;
Probe Attenuation,1;
Vertical Units,V;
Vertical Offset,0;
Vertical Scale,0.2;
Label,;
TIME,CH1;
-2,18;1,02
-2,18;1,03
-2,18;1,03
-2,17;1,04
-2,17;1,03
-2,17;1,03
-2,16;1,04
-2,16;1,02
-2,16;1,03
-2,15;1,03
-2,15;1,02
-2,15;1,02
-2,14;1,03
-2,14;1,03
-2,14;1,03
-2,13;1,03
-2,13;1,02
-2,13;1,02
-2,13;1,03
-2,12;1,03
-2,12;1,02
-2,12;1,03
-2,11;1,04
-2,11;1,03
-2,11;1,03
-2,10;1,02
-2,10;1,03
-2,10;1,03
-2,09;1,02
-2,09;1,03
-2,09;1,04
-2,08;1,03
-2,08;1,03
-2,08;1,02
-2,07;1,03
-2,07;1,03
-2,07;1,02
-2,06;1,03
-2,06;1,03
-2,06;1,03
-2,05;1,03
-2,05;1,02
-2,05;1,03
-2,05;1,03
-2,04;1,03
-2,04;1,03
-2,04;1,03
-2,03;1,03
-2,03;1,03
-2,03;1,03
-2,02;1,03
-2,02;1,03
-2,02;1,03
-2,01;0,29
-2,01;0,29
-2,01;0,29
-2,00;0,29
-2,00;0,28
-2,00;0,29
-1,99;0,28
-1,99;0,29
-1,99;0,29
-1,98;0,29
-1,98;0,29
-1,98;0,30
-1,97;0,28
-1,97;0,29
-1,97;0,29
-1,97;0,29
-1,96;0,30
-1,96;0,29
-1,96;0,28
-1,95;0,29
-1,95;0,29
-1,95;0,29
-1,94;0,29
-1,94;0,29
-1,94;0,29
-1,93;0,29
-1,93;0,29
-1,93;0,30
-1,92;0,28
-1,92;0,29
-1,92;0,29
-1,91;0,29
-1,91;0,29
-1,91;0,29
-1,90;0,29
-1,90;0,29
-1,90;0,29
-1,89;0,29
-1,89;0,28
-1,89;0,30
-1,89;0,29
-1,88;0,28
-1,88;0,29
-1,88;0,29
-1,87;0,29
-1,87;0,29
-1,87;0,29
-1,86;0,29
-1,86;0,30
-1,86;0,28
-1,85;0,29
-1,85;0,29
-1,85;0,29
-1,84;0,29
-1,84;0,28
-1,84;0,28
-1,83;0,29
-1,83;0,29
-1,83;0,29
-1,82;0,28
-1,82;0,29
-1,82;0,30
-1,81;0,29
-1,81;0,29
-1,81;0,29
-1,81;0,29
-1,80;0,29
-1,80;0,28
-1,80;0,29
-1,79;0,29
-1,79;0,29
-1,79;0,30
-1,78;0,28
-1,78;0,29
-1,78;0,29
-1,77;0,28
-1,77;0,28
-1,77;0,28
-1,76;0,28
-1,76;0,29
-1,76;0,29
-1,75;0,29
-1,75;0,30
-1,75;0,28
-1,74;0,29
-1,74;0,29
-1,74;0,28
-1,73;0,30
-1,73;0,28
-1,73;0,29
-1,73;0,29
-1,72;0,29
-1,72;0,29
-1,72;0,28
-1,71;0,28
-1,71;0,29
-1,71;0,28
-1,70;0,29
-1,70;0,30
-1,70;0,29
-1,69;0,29
-1,69;0,29
-1,69;0,28
-1,68;0,30
-1,68;0,28
-1,68;0,29
-1,67;0,29
-1,67;0,29
-1,67;0,30
-1,66;0,29
-1,66;0,29
-1,66;0,29
-1,65;0,28
-1,65;0,28
-1,65;0,29
-1,65;0,29
-1,64;0,29
-1,64;0,29
-1,64;0,29
-1,63;0,29
-1,63;0,29
-1,63;0,29
-1,62;0,29
-1,62;0,29
-1,62;0,29
-1,61;0,28
-1,61;0,29
-1,61;0,30
-1,60;0,28
-1,60;0,29
-1,60;0,29
-1,59;0,29
-1,59;0,29
-1,59;0,28
-1,58;0,29
-1,58;0,29
-1,58;0,28
-1,57;0,29
-1,57;0,28
-1,57;0,29
-1,57;0,29
-1,56;0,28
-1,56;0,29
-1,56;0,29
-1,55;0,29
-1,55;0,29
-1,55;0,28
-1,54;0,29
-1,54;0,29
-1,54;0,29
-1,53;0,29
-1,53;0,29
-1,53;0,29
-1,52;0,29
-1,52;0,29
-1,52;0,29
-1,51;0,29
-1,51;0,29
-1,51;0,29
-1,50;0,30
-1,50;0,28
-1,50;0,29
-1,49;0,29
-1,49;0,29
-1,49;0,29
-1,49;0,29
-1,48;0,29
-1,48;0,30
-1,48;0,29
-1,47;0,29
-1,47;0,28
-1,47;0,29
-1,46;0,29
-1,46;0,28
-1,46;0,29
-1,45;0,29
-1,45;0,29
-1,45;0,30
-1,44;0,29
-1,44;0,29
-1,44;0,29
-1,43;0,29
-1,43;0,29
-1,43;0,28
-1,42;0,29
-1,42;0,30
-1,42;0,29
-1,41;0,28
-1,41;0,30
-1,41;0,29
-1,41;0,29
-1,40;0,28
-1,40;0,29
-1,40;0,30
-1,39;0,29
-1,39;0,29
-1,39;0,29
-1,38;0,29
-1,38;0,29
-1,38;0,28
-1,37;0,29
-1,37;0,29
-1,37;0,28
-1,36;0,29
-1,36;0,28
-1,36;0,29
-1,35;0,29
-1,35;0,29
-1,35;0,29
