Model,TBS2104;
Firmware Version,v1.26.0;
;
Point Format,Y;
Horizontal Units,S;
Horizontal Scale,0.002;
Sample Interval,1.6e-05;
Filter Frequency,1e+08;
Record Length,2000;
Gating,0.0% to 100.0%;
Probe Attenuation,1;
Vertical Units,V;
Vertical Offset,0;
Vertical Scale,1;
Label,;
TIME,CH1;
-16,00;2,00
-15,98;2,05
-15,97;2,05
-15,95;2,05
-15,94;2,10
-15,92;2,10
-15,90;2,10
-15,89;2,10
-15,87;2,05
-15,86;2,05
-15,84;2,00
-15,82;2,05
-15,81;2,00
-15,79;2,00
-15,78;2,00
-15,76;2,00
-15,74;2,00
-15,73;2,00
-15,71;2,05
-15,70;2,10
-15,68;2,10
-15,66;2,15
-15,65;2,10
-15,63;2,10
-15,62;2,05
-15,60;2,05
-15,58;2,00
-15,57;2,00
-15,55;2,05
-15,54;2,00
-15,52;1,95
-15,50;2,00
-15,49;2,00
-15,47;2,00
-15,46;2,00
-15,44;2,10
-15,42;2,05
-15,41;2,05
-15,39;2,10
-15,38;2,10
-15,36;2,10
-15,34;2,10
-15,33;2,05
-15,31;2,05
-15,30;2,00
-15,28;2,00
-15,26;2,00
-15,25;2,00
-15,23;2,00
-15,22;1,95
-15,20;2,00
-15,18;2,00
-15,17;2,00
-15,15;2,10
-15,14;2,05
-15,12;2,10
-15,10;2,10
-15,09;2,10
-15,07;2,05
-15,06;2,05
-15,04;2,00
-15,02;2,05
-15,01;2,00
-14,99;2,00
-14,98;2,00
-14,96;2,00
-14,94;2,00
-14,93;1,95
-14,91;2,00
-14,90;2,05
-14,88;2,10
-14,86;2,15
-14,85;2,05
-14,83;2,10
-14,82;2,05
-14,80;2,00
-14,78;2,05
-14,77;2,00
-14,75;2,00
-14,74;2,00
-14,72;2,00
-14,70;2,00
-14,69;2,00
-14,67;2,00
-14,66;2,00
-14,64;2,15
-14,62;2,10
-14,61;2,10
-14,59;2,05
-14,58;2,05
-14,56;2,05
-14,54;2,05
-14,53;2,00
-14,51;2,05
-14,50;2,00
-14,48;2,00
-14,46;2,00
-14,45;2,00
-14,43;2,00
-14,42;2,05
-14,40;2,00
-14,38;2,05
-14,37;2,05
-14,35;2,05
-14,34;2,05
-14,32;2,05
-14,30;2,05
-14,29;2,10
-14,27;2,05
-14,26;2,00
-14,24;2,00
-14,22;2,00
-14,21;1,95
-14,19;1,95
-14,18;2,00
-14,16;2,00
-14,14;2,00
-14,13;2,05
-14,11;2,10
-14,10;2,10
-14,08;2,10
-14,06;2,15
-14,05;2,10
-14,03;2,05
-14,02;2,05
-14,00;2,05
-13,98;2,00
-13,97;1,95
-13,95;1,95
-13,94;2,05
-13,92;2,00
-13,90;1,95
-13,89;2,00
-13,87;2,05
-13,86;2,10
-13,84;2,10
-13,82;2,10
-13,81;2,05
-13,79;2,05
-13,78;2,00
-13,76;2,00
-13,74;2,00
-13,73;1,95
-13,71;2,05
-13,70;2,00
-13,68;1,95
-13,66;1,95
-13,65;2,00
-13,63;2,05
-13,62;2,10
-13,60;2,10
-13,58;2,10
-13,57;2,10
-13,55;2,10
-13,54;2,05
-13,52;2,00
-13,50;2,00
-13,49;2,05
-13,47;2,00
-13,46;2,00
-13,44;1,95
-13,42;1,95
-13,41;2,00
-13,39;1,95
-13,38;2,00
-13,36;2,00
-13,34;2,10
-13,33;2,10
-13,31;2,05
-13,30;2,05
-13,28;2,00
-13,26;2,05
-13,25;2,00
-13,23;2,05
-13,22;2,00
-13,20;1,95
-13,18;2,00
-13,17;2,00
-13,15;2,00
-13,14;2,05
-13,12;2,05
-13,10;2,05
-13,09;2,10
-13,07;2,05
-13,06;2,05
-13,04;2,05
-13,02;2,05
-13,01;2,05
-12,99;2,00
-12,98;2,00
-12,96;2,00
-12,94;1,95
-12,93;1,95
-12,91;1,95
-12,90;2,00
-12,88;2,05
-12,86;2,10
-12,85;2,05
-12,83;2,10
-12,82;2,10
-12,80;2,05
-12,78;2,10
-12,77;2,05
-12,75;2,05
-12,74;2,05
-12,72;2,00
-12,70;2,00
-12,69;1,95
-12,67;2,00
-12,66;2,00
-12,64;2,00
-12,62;2,00
-12,61;2,00
-12,59;2,10
-12,58;2,10
-12,56;2,10
-12,54;2,05
-12,53;2,10
-12,51;2,05
-12,50;2,05
-12,48;2,05
-12,46;1,95
-12,45;2,00
-12,43;2,00
-12,42;1,95
-12,40;1,95
-12,38;1,95
-12,37;2,00
-12,35;2,05
-12,34;2,05
-12,32;2,05
-12,30;2,10
-12,29;2,10
-12,27;2,10
-12,26;2,05
-12,24;2,05
-12,22;2,05
-12,21;2,05
-12,19;2,05
-12,18;2,00
-12,16;2,05
-12,14;2,00
-12,13;2,00
-12,11;2,00
-12,10;1,95
-12,08;2,00
-12,06;2,05
-12,05;2,05
-12,03;2,10
-12,02;2,05
-12,00;2,10
-11,98;2,10
-11,97;2,05
-11,95;2,05
-11,94;2,05
-11,92;2,05
-11,90;2,00
-11,89;2,00
-11,87;2,00
-11,86;1,95
-11,84;2,00
-11,82;2,00
-11,81;2,05
