Model,TBS2104;
Firmware Version,v1,26,0;
;
Point Format,Y;
Horizontal Units,S;
Horizontal Scale,0,0002;
Sample Interval,1,6e-06;
Filter Frequency,1e+08;
Record Length,2000;
Gating,0,0% to 100,0%;
Probe Attenuation,1;
Vertical Units,V;
Vertical Offset,0;
Vertical Scale,1;
Label,;
Tiempo (ms);Voltaje (V)
-1,36;4,95
-1,36;4,95
-1,36;4,95
-1,36;4,95
-1,35;4,95
-1,35;4,95
-1,35;5
-1,35;4,95
-1,35;4,95
-1,35;4,95
-1,34;4,9
-1,34;4,95
-1,34;4,9
-1,34;4,95
-1,34;4,95
-1,34;4,95
-1,33;4,95
-1,33;4,95
-1,33;4,9
-1,33;4,95
-1,33;4,95
-1,33;4,95
-1,33;4,95
-1,32;4,95
-1,32;4,95
-1,32;4,95
-1,32;4,95
-1,32;4,95
-1,32;4,95
-1,31;4,95
-1,31;4,95
-1,31;4,95
-1,31;4,95
-1,31;4,95
-1,31;4,95
-1,3;4,95
-1,3;4,95
-1,3;4,95
-1,3;4,95
-1,3;4,95
-1,3;4,95
-1,29;4,95
-1,29;4,95
-1,29;4,95
-1,29;4,95
-1,29;4,9
-1,29;4,95
-1,29;4,95
-1,28;4,95
-1,28;4,95
-1,28;4,95
-1,28;4,95
-1,28;4,95
-1,28;4,95
-1,27;4,95
-1,27;4,95
-1,27;5
-1,27;4,95
-1,27;4,9
-1,27;5
-1,26;5
-1,26;4,95
-1,26;4,95
-1,26;4,95
-1,26;4,95
-1,26;4,95
-1,25;4,95
-1,25;4,95
-1,25;4,95
-1,25;4,95
-1,25;4,95
-1,25;4,95
-1,25;4,95
-1,24;4,95
-1,24;4,95
-1,24;4,9
-1,24;4,95
-1,24;4,95
-1,24;4,95
-1,23;4,95
-1,23;4,95
-1,23;4,95
-1,23;4,95
-1,23;4,95
-1,23;4,95
-1,22;4,95
-1,22;4,95
-1,22;4,95
-1,22;4,95
-1,22;4,9
-1,22;4,95
-1,21;4,95
-1,21;4,9
-1,21;4,95
-1,21;4,95
-1,21;4,95
-1,21;4,95
-1,21;4,95
-1,2;4,95
-1,2;4,95
-1,2;4,95
-1,2;4,95
-1,2;4,95
-1,2;4,9
-1,19;4,95
-1,19;4,95
-1,19;4,9
-1,19;4,95
-1,19;4,95
-1,19;4,95
-1,18;5
-1,18;4,95
-1,18;4,95
-1,18;4,95
-1,18;4,95
-1,18;4,95
-1,17;4,95
-1,17;4,9
-1,17;4,95
-1,17;5
-1,17;4,95
-1,17;4,95
-1,17;4,95
-1,16;4,95
-1,16;4,95
-1,16;4,95
-1,16;4,95
-1,16;4,95
-1,16;4,95
-1,15;5
-1,15;4,95
-1,15;4,95
-1,15;4,95
-1,15;4,95
-1,15;4,95
-1,14;4,95
-1,14;4,95
-1,14;4,95
-1,14;4,9
-1,14;4,9
-1,14;4,95
-1,13;4,95
-1,13;4,95
-1,13;4,9
-1,13;4,95
-1,13;4,95
-1,13;4,95
-1,13;4,95
-1,12;4,95
-1,12;4,95
-1,12;4,95
-1,12;4,95
-1,12;4,9
-1,12;4,95
-1,11;4,9
-1,11;4,95
-1,11;4,9
-1,11;4,95
-1,11;5
-1,11;4,95
-1,1;4,95
-1,1;4,95
-1,1;4,95
-1,1;4,95
-1,1;4,95
-1,1;4,9
-1,09;4,95
-1,09;4,95
-1,09;4,95
-1,09;4,95
-1,09;4,95
-1,09;4,95
-1,09;4,9
-1,08;4,95
-1,08;4,95
-1,08;4,95
-1,08;4,95
-1,08;4,95
-1,08;4,95
-1,07;4,95
-1,07;4,95
-1,07;4,95
-1,07;4,95
-1,07;4,95
-1,07;4,95
-1,06;4,95
-1,06;4,95
-1,06;4,9
-1,06;4,95
-1,06;4,95
-1,06;4,95
-1,05;4,95
-1,05;4,95
-1,05;4,95
-1,05;4,95
-1,05;4,95
-1,05;4,95
-1,05;4,95
-1,04;4,95
-1,04;4,95
-1,04;4,95
-1,04;4,95
-1,04;4,95
-1,04;4,95
-1,03;4,95
-1,03;4,95
-1,03;4,95
-1,03;4,95
-1,03;4,95
-1,03;4,95
-1,02;4,95
-1,02;4,95
-1,02;4,95
-1,02;4,9
-1,02;4,95
-1,02;4,95
-1,01;4,95
-1,01;4,95
-1,01;4,95
-1,01;4,95
-1,01;4,95
-1,01;4,95
-1,01;4,9
-1;4,95
-1;4,95
-1;4,95
-1;4,95
-1;4,95
-1;4,95
-0,99;5
-0,99;4,95
-0,99;4,95
-0,99;4,95
-0,99;4,95
-0,99;4,95
-0,98;4,95
-0,98;4,95
-0,98;4,95
-0,98;4,95
-0,98;4,95
-0,98;4,95
-0,97;4,95
-0,97;4,95
-0,97;4,9
-0,97;4,95
-0,97;4,95
-0,97;4,95
-0,96;4,9
-0,96;4,95
-0,96;4,95
-0,96;4,95
-0,96;4,95
-0,96;4,95
-0,96;4,95
-0,95;4,95
-0,95;4,95
-0,95;4,95
-0,95;4,95
-0,95;4,95
-0,95;4,95
-0,94;4,9
-0,94;4,95
-0,94;4,95
-0,94;4,9
-0,94;4,95
