Model,TBS2104;
Firmware Version,v1,26,0;
;
Point Format,Y;
Horizontal Units,S;
Horizontal Scale,0,0004;
Sample Interval,3,2e-06;
Filter Frequency,1e+08;
Record Length,2000;
Gating,0,0% to 100,0%;
Probe Attenuation,1;
Vertical Units,V;
Vertical Offset,0;
Vertical Scale,0,05;
Label,;
Tiempo (ms);Voltaje (V)
-3,22;0,00
-3,21;0,01
-3,21;0,01
-3,21;0,00
-3,20;0,00
-3,20;0,00
-3,20;0,01
-3,19;0,01
-3,19;0,00
-3,19;0,01
-3,18;0,01
-3,18;0,00
-3,18;0,01
-3,17;0,00
-3,17;0,01
-3,17;0,01
-3,17;0,00
-3,16;0,01
-3,16;0,01
-3,16;0,00
-3,15;0,01
-3,15;0,00
-3,15;0,00
-3,14;0,01
-3,14;0,00
-3,14;0,01
-3,13;0,00
-3,13;0,00
-3,13;0,01
-3,12;0,00
-3,12;0,01
-3,12;0,01
-3,11;0,00
-3,11;0,01
-3,11;0,01
-3,10;0,00
-3,10;0,01
-3,10;0,00
-3,09;0,00
-3,09;0,01
-3,09;0,00
-3,09;0,01
-3,08;0,01
-3,08;0,00
-3,08;0,01
-3,07;0,00
-3,07;0,00
-3,07;0,01
-3,06;0,00
-3,06;0,01
-3,06;0,01
-3,05;0,00
-3,05;0,01
-3,05;0,02
-3,04;0,04
-3,04;0,06
-3,04;0,07
-3,03;0,08
-3,03;0,10
-3,03;0,10
-3,02;0,12
-3,02;0,12
-3,02;0,13
-3,01;0,14
-3,01;0,14
-3,01;0,15
-3,01;0,16
-3,00;0,15
-3,00;0,16
-3,00;0,16
-2,99;0,17
-2,99;0,18
-2,99;0,17
-2,98;0,17
-2,98;0,18
-2,98;0,18
-2,97;0,19
-2,97;0,19
-2,97;0,19
-2,96;0,19
-2,96;0,19
-2,96;0,19
-2,95;0,20
-2,95;0,19
-2,95;0,19
-2,94;0,19
-2,94;0,20
-2,94;0,20
-2,93;0,19
-2,93;0,19
-2,93;0,20
-2,93;0,19
-2,92;0,20
-2,92;0,19
-2,92;0,20
-2,91;0,20
-2,91;0,19
-2,91;0,20
-2,90;0,20
-2,90;0,20
-2,90;0,20
-2,89;0,19
-2,89;0,20
-2,89;0,20
-2,88;0,20
-2,88;0,20
-2,88;0,20
-2,87;0,20
-2,87;0,20
-2,87;0,19
-2,86;0,20
-2,86;0,21
-2,86;0,20
-2,85;0,20
-2,85;0,20
-2,85;0,20
-2,85;0,20
-2,84;0,20
-2,84;0,20
-2,84;0,21
-2,83;0,20
-2,83;0,20
-2,83;0,20
-2,82;0,20
-2,82;0,20
-2,82;0,20
-2,81;0,20
-2,81;0,21
-2,81;0,20
-2,80;0,20
-2,80;0,20
-2,80;0,20
-2,79;0,20
-2,79;0,20
-2,79;0,20
-2,78;0,20
-2,78;0,20
-2,78;0,20
-2,77;0,20
-2,77;0,20
-2,77;0,20
-2,77;0,20
-2,76;0,20
-2,76;0,20
-2,76;0,20
-2,75;0,20
-2,75;0,20
-2,75;0,20
-2,74;0,20
-2,74;0,19
-2,74;0,20
-2,73;0,20
-2,73;0,20
-2,73;0,20
-2,72;0,20
-2,72;0,20
-2,72;0,21
-2,71;0,20
-2,71;0,20
-2,71;0,21
-2,70;0,20
-2,70;0,20
-2,70;0,20
-2,69;0,20
-2,69;0,21
-2,69;0,20
-2,69;0,20
-2,68;0,20
-2,68;0,20
-2,68;0,21
-2,67;0,20
-2,67;0,20
-2,67;0,21
-2,66;0,20
-2,66;0,20
-2,66;0,20
-2,65;0,20
-2,65;0,21
-2,65;0,20
-2,64;0,20
-2,64;0,20
-2,64;0,20
-2,63;0,20
-2,63;0,20
-2,63;0,20
-2,62;0,21
-2,62;0,20
-2,62;0,20
-2,61;0,20
-2,61;0,20
-2,61;0,20
-2,61;0,20
-2,60;0,20
-2,60;0,21
-2,60;0,20
-2,59;0,20
-2,59;0,20
-2,59;0,20
-2,58;0,20
-2,58;0,20
-2,58;0,20
-2,57;0,21
-2,57;0,20
-2,57;0,20
-2,56;0,20
-2,56;0,20
-2,56;0,20
-2,55;0,20
-2,55;0,20
-2,55;0,21
-2,54;0,20
-2,54;0,20
-2,54;0,20
-2,53;0,20
-2,53;0,21
-2,53;0,20
-2,53;0,20
-2,52;0,21
-2,52;0,20
-2,52;0,20
-2,51;0,20
-2,51;0,20
-2,51;0,20
-2,50;0,20
-2,50;0,20
-2,50;0,20
-2,49;0,20
-2,49;0,20
-2,49;0,20
-2,48;0,20
-2,48;0,20
-2,48;0,20
-2,47;0,20
-2,47;0,21
-2,47;0,20
-2,46;0,20
-2,46;0,20
-2,46;0,20
-2,45;0,20
-2,45;0,20
-2,45;0,20
-2,45;0,21
-2,44;0,20
-2,44;0,20
-2,44;0,20
-2,43;0,20
-2,43;0,20
-2,43;0,20
-2,42;0,20
-2,42;0,21
-2,42;0,20
-2,41;0,20
-2,41;0,20
-2,41;0,20
-2,40;0,20
-2,40;0,20
-2,40;0,20
-2,39;0,20
-2,39;0,20
-2,39;0,20
-2,38;0,20
