Model,TBS2104;
Firmware Version,v1,26,0;
;
Point Format,Y;
Horizontal Units,S;
Horizontal Scale,0,0004;
Sample Interval,3,2e-06;
Filter Frequency,1e+08;
Record Length,2000;
Gating,0,0% to 100,0%;
Probe Attenuation,1;
Vertical Units,V;
Vertical Offset,0;
Vertical Scale,0,2;
Label,;
Tiempo (ms);Voltaje (V)
-3,22;-0,00999999
-3,21;-0,02
-3,21;-0,02
-3,21;-0,02
-3,2;-0,00999999
-3,2;-0,02
-3,2;-0,00999999
-3,19;-0,00999999
-3,19;-0,00999999
-3,19;-0,00999999
-3,18;-0,02
-3,18;-0,00999999
-3,18;-0,02
-3,17;-0,02
-3,17;-0,02
-3,17;-0,02
-3,17;-0,00999999
-3,16;-0,02
-3,16;-0,00999999
-3,16;-0,00999999
-3,15;-0,02
-3,15;-0,00999999
-3,15;-0,02
-3,14;-0,02
-3,14;-0,00999999
-3,14;-0,00999999
-3,13;-0,02
-3,13;-0,02
-3,13;-0,00999999
-3,12;-0,02
-3,12;-0,02
-3,12;-0,00999999
-3,11;-0,00999999
-3,11;-0,02
-3,11;-0,00999999
-3,1;-0,00999999
-3,1;-0,02
-3,1;-0,02
-3,09;-0,00999999
-3,09;-0,00999999
-3,09;-0,00999999
-3,09;-0,00999999
-3,08;-0,02
-3,08;-0,00999999
-3,08;-0,02
-3,07;-0,00999999
-3,07;-0,00999999
-3,07;-0,02
-3,06;-0,00999999
-3,06;-0,02
-3,06;-0,00999999
-3,05;-0,00999999
-3,05;-0,00999999
-3,05;-0,02
-3,04;-0,02
-3,04;-0,00999999
-3,04;-0,00999999
-3,03;-0,02
-3,03;-0,02
-3,03;-0,00999999
-3,02;-0,02
-3,02;-0,02
-3,02;0,72
-3,01;0,73
-3,01;0,73
-3,01;0,74
-3,01;0,74
-3;0,74
-3;0,74
-3;0,74
-2,99;0,74
-2,99;0,74
-2,99;0,74
-2,98;0,74
-2,98;0,74
-2,98;0,74
-2,97;0,74
-2,97;0,74
-2,97;0,73
-2,96;0,74
-2,96;0,73
-2,96;0,74
-2,95;0,75
-2,95;0,74
-2,95;0,74
-2,94;0,74
-2,94;0,74
-2,94;0,74
-2,93;0,74
-2,93;0,75
-2,93;0,74
-2,93;0,74
-2,92;0,74
-2,92;0,73
-2,92;0,75
-2,91;0,74
-2,91;0,74
-2,91;0,74
-2,9;0,74
-2,9;0,74
-2,9;0,74
-2,89;0,74
-2,89;0,74
-2,89;0,74
-2,88;0,74
-2,88;0,74
-2,88;0,74
-2,87;0,74
-2,87;0,74
-2,87;0,74
-2,86;0,74
-2,86;0,74
-2,86;0,74
-2,85;0,74
-2,85;0,74
-2,85;0,74
-2,85;0,75
-2,84;0,74
-2,84;0,74
-2,84;0,74
-2,83;0,74
-2,83;0,74
-2,83;0,74
-2,82;0,74
-2,82;0,75
-2,82;0,74
-2,81;0,74
-2,81;0,74
-2,81;0,74
-2,8;0,73
-2,8;0,74
-2,8;0,74
-2,79;0,74
-2,79;0,74
-2,79;0,74
-2,78;0,74
-2,78;0,74
-2,78;0,74
-2,77;0,74
-2,77;0,74
-2,77;0,74
-2,77;0,74
-2,76;0,74
-2,76;0,74
-2,76;0,75
-2,75;0,74
-2,75;0,74
-2,75;0,74
-2,74;0,74
-2,74;0,74
-2,74;0,74
-2,73;0,74
-2,73;0,75
-2,73;0,74
-2,72;0,74
-2,72;0,74
-2,72;0,74
-2,71;0,74
-2,71;0,74
-2,71;0,75
-2,7;0,73
-2,7;0,74
-2,7;0,74
-2,69;0,74
-2,69;0,74
-2,69;0,74
-2,69;0,74
-2,68;0,74
-2,68;0,74
-2,68;0,74
-2,67;0,73
-2,67;0,74
-2,67;0,74
-2,66;0,74
-2,66;0,74
-2,66;0,74
-2,65;0,73
-2,65;0,74
-2,65;0,74
-2,64;0,74
-2,64;0,74
-2,64;0,74
-2,63;0,74
-2,63;0,74
-2,63;0,74
-2,62;0,74
-2,62;0,74
-2,62;0,74
-2,61;0,74
-2,61;0,74
-2,61;0,73
-2,61;0,74
-2,6;0,73
-2,6;0,74
-2,6;0,74
-2,59;0,73
-2,59;0,73
-2,59;0,74
-2,58;0,75
-2,58;0,74
-2,58;0,74
-2,57;0,74
-2,57;0,74
-2,57;0,74
-2,56;0,74
-2,56;0,74
-2,56;0,74
-2,55;0,73
-2,55;0,74
-2,55;0,73
-2,54;0,74
-2,54;0,74
-2,54;0,74
-2,53;0,74
-2,53;0,74
-2,53;0,74
-2,53;0,74
-2,52;0,74
-2,52;0,74
-2,52;0,74
-2,51;0,74
-2,51;0,74
-2,51;0,74
-2,5;0,74
-2,5;0,74
-2,5;0,74
-2,49;0,75
-2,49;0,74
-2,49;0,74
-2,48;0,74
-2,48;0,74
-2,48;0,74
-2,47;0,74
-2,47;0,74
-2,47;0,74
-2,46;0,74
-2,46;0,74
-2,46;0,74
-2,45;0,74
-2,45;0,74
-2,45;0,74
-2,45;0,74
-2,44;0,75
-2,44;0,74
-2,44;0,75
-2,43;0,74
-2,43;0,74
-2,43;0,74
